cell,cell_type
Cell1,group1
Cell2,group1
Cell3,group1
Cell4,group1
Cell5,group1
Cell6,group1
Cell7,group1
Cell8,group1
Cell9,group1
Cell10,group1
Cell11,group1
Cell12,group1
Cell13,group1
Cell14,group1
Cell15,group1
Cell16,group1
Cell17,group1
Cell18,group1
Cell19,group1
Cell20,group1
Cell21,group1
Cell22,group4
Cell23,group1
Cell24,group1
Cell25,group1
Cell26,group1
Cell27,group1
Cell28,group1
Cell29,group1
Cell30,group1
Cell31,group1
Cell32,group1
Cell33,group1
Cell34,group1
Cell35,group1
Cell36,group1
Cell37,group1
Cell38,group1
Cell39,group1
Cell40,group1
Cell41,group1
Cell42,group1
Cell43,group1
Cell44,group1
Cell45,group1
Cell46,group1
Cell47,group1
Cell48,group1
Cell49,group1
Cell50,group1
Cell51,group1
Cell52,group1
Cell53,group1
Cell54,group1
Cell55,group1
Cell56,group1
Cell57,group1
Cell58,group1
Cell59,group1
Cell60,group1
Cell61,group1
Cell62,group1
Cell63,group1
Cell64,group1
Cell65,group1
Cell66,group1
Cell67,group1
Cell68,group1
Cell69,group4
Cell70,group1
Cell71,group1
Cell72,group1
Cell73,group1
Cell74,group1
Cell75,group1
Cell76,group1
Cell77,group1
Cell78,group1
Cell79,group1
Cell80,group1
Cell81,group1
Cell82,group1
Cell83,group4
Cell84,group1
Cell85,group1
Cell86,group1
Cell87,group1
Cell88,group1
Cell89,group1
Cell90,group1
Cell91,group1
Cell92,group1
Cell93,group1
Cell94,group1
Cell95,group1
Cell96,group1
Cell97,group1
Cell98,group1
Cell99,group1
Cell100,group1
Cell101,group1
Cell102,group4
Cell103,group1
Cell104,group1
Cell105,group1
Cell106,group1
Cell107,group1
Cell108,group1
Cell109,group1
Cell110,group1
Cell111,group1
Cell112,group1
Cell113,group1
Cell114,group1
Cell115,group1
Cell116,group1
Cell117,group1
Cell118,group1
Cell119,group1
Cell120,group1
Cell121,group1
Cell122,group1
Cell123,group1
Cell124,group1
Cell125,group1
Cell126,group1
Cell127,group1
Cell128,group1
Cell129,group1
Cell130,group1
Cell131,group1
Cell132,group1
Cell133,group1
Cell134,group1
Cell135,group1
Cell136,group1
Cell137,group1
Cell138,group1
Cell139,group1
Cell140,group1
Cell141,group1
Cell142,group1
Cell143,group1
Cell144,group1
Cell145,group1
Cell146,group1
Cell147,group1
Cell148,group1
Cell149,group1
Cell150,group1
Cell151,group1
Cell152,group1
Cell153,group1
Cell154,group1
Cell155,group4
Cell156,group1
Cell157,group1
Cell158,group1
Cell159,group1
Cell160,group1
Cell161,group1
Cell162,group1
Cell163,group1
Cell164,group1
Cell165,group1
Cell166,group1
Cell167,group1
Cell168,group1
Cell169,group1
Cell170,group1
Cell171,group1
Cell172,group1
Cell173,group1
Cell174,group1
Cell175,group1
Cell176,group1
Cell177,group1
Cell178,group1
Cell179,group1
Cell180,group1
Cell181,group1
Cell182,group1
Cell183,group1
Cell184,group1
Cell185,group1
Cell186,group1
Cell187,group1
Cell188,group1
Cell189,group1
Cell190,group1
Cell191,group1
Cell192,group1
Cell193,group1
Cell194,group1
Cell195,group1
Cell196,group1
Cell197,group1
Cell198,group1
Cell199,group1
Cell200,group1
Cell201,group1
Cell202,group1
Cell203,group1
Cell204,group1
Cell205,group1
Cell206,group1
Cell207,group1
Cell208,group1
Cell209,group1
Cell210,group1
Cell211,group1
Cell212,group1
Cell213,group1
Cell214,group1
Cell215,group1
Cell216,group1
Cell217,group1
Cell218,group1
Cell219,group1
Cell220,group1
Cell221,group1
Cell222,group1
Cell223,group1
Cell224,group1
Cell225,group1
Cell226,group1
Cell227,group1
Cell228,group1
Cell229,group1
Cell230,group1
Cell231,group1
Cell232,group1
Cell233,group1
Cell234,group1
Cell235,group1
Cell236,group1
Cell237,group1
Cell238,group1
Cell239,group4
Cell240,group1
Cell241,group1
Cell242,group1
Cell243,group1
Cell244,group1
Cell245,group1
Cell246,group1
Cell247,group1
Cell248,group1
Cell249,group1
Cell250,group1
Cell251,group1
Cell252,group1
Cell253,group1
Cell254,group4
Cell255,group1
Cell256,group1
Cell257,group1
Cell258,group1
Cell259,group1
Cell260,group1
Cell261,group1
Cell262,group1
Cell263,group1
Cell264,group1
Cell265,group1
Cell266,group1
Cell267,group1
Cell268,group1
Cell269,group1
Cell270,group1
Cell271,group1
Cell272,group1
Cell273,group1
Cell274,group1
Cell275,group1
Cell276,group1
Cell277,group1
Cell278,group1
Cell279,group1
Cell280,group1
Cell281,group1
Cell282,group1
Cell283,group1
Cell284,group1
Cell285,group1
Cell286,group1
Cell287,group1
Cell288,group1
Cell289,group1
Cell290,group1
Cell291,group1
Cell292,group1
Cell293,group1
Cell294,group1
Cell295,group1
Cell296,group4
Cell297,group1
Cell298,group1
Cell299,group4
Cell300,group1
Cell301,group1
Cell302,group1
Cell303,group1
Cell304,group1
Cell305,group1
Cell306,group1
Cell307,group1
Cell308,group1
Cell309,group1
Cell310,group1
Cell311,group1
Cell312,group1
Cell313,group1
Cell314,group1
Cell315,group1
Cell316,group1
Cell317,group1
Cell318,group1
Cell319,group1
Cell320,group1
Cell321,group1
Cell322,group1
Cell323,group1
Cell324,group1
Cell325,group1
Cell326,group1
Cell327,group1
Cell328,group1
Cell329,group1
Cell330,group1
Cell331,group1
