cell,cell_type
Cell1,group3
Cell2,group2
Cell3,group4
Cell4,group4
Cell5,group4
Cell6,group2
Cell7,group3
Cell8,group1
Cell9,group1
Cell10,group3
Cell11,group4
Cell12,group3
Cell13,group4
Cell14,group4
Cell15,group3
Cell16,group2
Cell17,group2
Cell18,group2
Cell19,group4
Cell20,group2
Cell21,group2
Cell22,group4
Cell23,group4
Cell24,group2
Cell25,group2
Cell26,group4
Cell27,group2
Cell28,group4
Cell29,group4
Cell30,group2
Cell31,group3
Cell32,group2
Cell33,group3
Cell34,group2
Cell35,group1
Cell36,group2
Cell37,group4
Cell38,group4
Cell39,group4
Cell40,group1
Cell41,group3
Cell42,group3
Cell43,group3
Cell44,group2
Cell45,group2
Cell46,group2
Cell47,group3
Cell48,group3
Cell49,group3
Cell50,group3
Cell51,group3
Cell52,group2
Cell53,group3
Cell54,group4
Cell55,group4
Cell56,group2
Cell57,group3
Cell58,group3
Cell59,group2
Cell60,group2
Cell61,group3
Cell62,group2
Cell63,group3
Cell64,group2
Cell65,group4
Cell66,group3
Cell67,group2
Cell68,group1
Cell69,group4
Cell70,group3
Cell71,group2
Cell72,group2
Cell73,group2
Cell74,group1
Cell75,group4
Cell76,group3
Cell77,group4
Cell78,group2
Cell79,group2
Cell80,group4
Cell81,group4
Cell82,group2
Cell83,group4
Cell84,group2
Cell85,group3
Cell86,group3
Cell87,group3
Cell88,group2
Cell89,group3
Cell90,group2
Cell91,group3
Cell92,group4
Cell93,group2
Cell94,group2
Cell95,group3
Cell96,group4
Cell97,group4
Cell98,group2
Cell99,group3
Cell100,group3
Cell101,group4
Cell102,group4
Cell103,group2
Cell104,group3
Cell105,group1
Cell106,group2
Cell107,group2
Cell108,group2
Cell109,group3
Cell110,group2
Cell111,group4
Cell112,group2
Cell113,group3
Cell114,group4
Cell115,group2
Cell116,group3
Cell117,group2
Cell118,group1
Cell119,group4
Cell120,group4
Cell121,group2
Cell122,group4
Cell123,group4
Cell124,group4
Cell125,group3
Cell126,group4
Cell127,group1
Cell128,group2
Cell129,group4
Cell130,group3
Cell131,group2
Cell132,group1
Cell133,group2
Cell134,group4
Cell135,group2
Cell136,group2
Cell137,group1
Cell138,group3
Cell139,group2
Cell140,group4
Cell141,group4
Cell142,group4
Cell143,group2
Cell144,group2
Cell145,group3
Cell146,group1
Cell147,group3
Cell148,group4
Cell149,group3
Cell150,group1
Cell151,group2
Cell152,group4
Cell153,group2
Cell154,group2
Cell155,group4
Cell156,group2
Cell157,group3
Cell158,group3
Cell159,group4
Cell160,group4
Cell161,group3
Cell162,group2
Cell163,group4
Cell164,group3
Cell165,group2
Cell166,group3
Cell167,group2
Cell168,group1
Cell169,group4
Cell170,group3
Cell171,group1
Cell172,group3
Cell173,group2
Cell174,group1
Cell175,group1
Cell176,group3
Cell177,group4
Cell178,group2
Cell179,group4
Cell180,group2
Cell181,group3
Cell182,group3
Cell183,group2
Cell184,group1
Cell185,group2
Cell186,group2
Cell187,group4
Cell188,group1
Cell189,group3
Cell190,group4
Cell191,group4
Cell192,group3
Cell193,group1
Cell194,group2
Cell195,group2
Cell196,group3
Cell197,group1
Cell198,group3
Cell199,group3
Cell200,group1
Cell201,group4
Cell202,group3
Cell203,group2
Cell204,group1
Cell205,group4
Cell206,group1
Cell207,group4
Cell208,group3
Cell209,group3
Cell210,group2
Cell211,group2
Cell212,group3
Cell213,group3
Cell214,group2
