cell,cell_type
Cell1,group8
Cell2,group8
Cell3,group8
Cell4,group8
Cell5,group8
Cell6,group8
Cell7,group8
Cell8,group8
Cell9,group8
Cell10,group8
Cell11,group8
Cell12,group8
Cell13,group8
Cell14,group8
Cell15,group8
Cell16,group8
Cell17,group8
Cell18,group8
Cell19,group8
Cell20,group8
Cell21,group8
Cell22,group8
Cell23,group8
Cell24,group8
Cell25,group8
Cell26,group8
Cell27,group8
Cell28,group8
Cell29,group8
Cell30,group8
Cell31,group8
Cell32,group8
Cell33,group8
Cell34,group8
Cell35,group8
Cell36,group8
Cell37,group8
Cell38,group8
Cell39,group8
Cell40,group8
Cell41,group8
Cell42,group8
Cell43,group8
Cell44,group8
Cell45,group8
Cell46,group8
Cell47,group8
Cell48,group8
Cell49,group8
Cell50,group8
Cell51,group8
Cell52,group8
Cell53,group8
Cell54,group8
Cell55,group8
Cell56,group8
Cell57,group8
Cell58,group8
Cell59,group8
Cell60,group8
Cell61,group8
Cell62,group8
Cell63,group8
Cell64,group8
Cell65,group8
Cell66,group8
Cell67,group8
Cell68,group8
Cell69,group8
Cell70,group8
Cell71,group8
Cell72,group8
Cell73,group8
Cell74,group8
Cell75,group8
Cell76,group8
Cell77,group8
Cell78,group8
Cell79,group8
Cell80,group8
Cell81,group8
Cell82,group8
Cell83,group8
Cell84,group8
Cell85,group8
Cell86,group8
Cell87,group8
Cell88,group8
Cell89,group8
Cell90,group8
Cell91,group8
Cell92,group8
Cell93,group8
Cell94,group8
Cell95,group8
Cell96,group8
Cell97,group8
Cell98,group8
Cell99,group8
Cell100,group8
Cell101,group8
Cell102,group8
Cell103,group8
Cell104,group8
Cell105,group8
Cell106,group8
Cell107,group8
Cell108,group8
Cell109,group8
Cell110,group8
Cell111,group8
Cell112,group8
Cell113,group8
Cell114,group8
Cell115,group8
Cell116,group8
Cell117,group8
Cell118,group8
Cell119,group8
Cell120,group8
Cell121,group8
Cell122,group8
Cell123,group8
Cell124,group8
Cell125,group8
Cell126,group8
Cell127,group8
Cell128,group8
Cell129,group8
Cell130,group8
Cell131,group8
Cell132,group8
Cell133,group8
Cell134,group8
Cell135,group8
Cell136,group8
Cell137,group8
Cell138,group8
Cell139,group8
Cell140,group8
Cell141,group8
Cell142,group8
Cell143,group8
Cell144,group8
Cell145,group8
Cell146,group8
Cell147,group8
Cell148,group8
Cell149,group8
Cell150,group8
Cell151,group8
Cell152,group8
Cell153,group8
Cell154,group8
Cell155,group8
Cell156,group8
Cell157,group8
Cell158,group8
Cell159,group8
Cell160,group8
Cell161,group8
Cell162,group8
Cell163,group8
Cell164,group8
Cell165,group8
Cell166,group8
Cell167,group8
Cell168,group8
Cell169,group8
Cell170,group8
Cell171,group8
Cell172,group8
Cell173,group8
Cell174,group8
Cell175,group8
Cell176,group8
Cell177,group8
Cell178,group8
Cell179,group8
Cell180,group8
Cell181,group8
Cell182,group8
Cell183,group8
Cell184,group8
Cell185,group8
Cell186,group8
Cell187,group8
Cell188,group8
Cell189,group8
Cell190,group8
Cell191,group8
Cell192,group8
Cell193,group8
Cell194,group8
Cell195,group8
Cell196,group8
Cell197,group8
Cell198,group8
Cell199,group8
Cell200,group8
Cell201,group8
Cell202,group8
Cell203,group8
Cell204,group8
Cell205,group8
Cell206,group8
Cell207,group8
Cell208,group8
Cell209,group8
Cell210,group8
Cell211,group8
Cell212,group8
Cell213,group8
Cell214,group8
Cell215,group8
Cell216,group8
Cell217,group8
Cell218,group8
Cell219,group8
Cell220,group8
Cell221,group8
Cell222,group8
Cell223,group8
Cell224,group8
Cell225,group8
Cell226,group8
Cell227,group8
Cell228,group8
Cell229,group8
Cell230,group8
Cell231,group8
Cell232,group8
Cell233,group8
Cell234,group8
Cell235,group8
Cell236,group8
Cell237,group8
Cell238,group8
Cell239,group8
Cell240,group8
Cell241,group8
Cell242,group8
Cell243,group8
Cell244,group8
Cell245,group8
Cell246,group8
Cell247,group8
Cell248,group8
Cell249,group8
Cell250,group8
Cell251,group7
Cell252,group8
Cell253,group8
Cell254,group8
Cell255,group8
Cell256,group8
Cell257,group8
Cell258,group8
Cell259,group8
Cell260,group8
Cell261,group8
Cell262,group8
Cell263,group8
Cell264,group8
Cell265,group8
Cell266,group8
Cell267,group8
Cell268,group8
Cell269,group8
Cell270,group8
Cell271,group8
Cell272,group8
Cell273,group8
Cell274,group8
Cell275,group8
Cell276,group8
Cell277,group8
Cell278,group8
Cell279,group8
Cell280,group8
Cell281,group8
Cell282,group8
Cell283,group8
Cell284,group8
Cell285,group8
Cell286,group8
Cell287,group8
Cell288,group8
Cell289,group8
Cell290,group8
Cell291,group8
Cell292,group8
Cell293,group8
Cell294,group8
Cell295,group8
Cell296,group7
Cell297,group8
Cell298,group8
Cell299,group8
Cell300,group8
Cell301,group8
Cell302,group8
Cell303,group8
Cell304,group8
Cell305,group8
Cell306,group8
Cell307,group8
Cell308,group8
Cell309,group8
Cell310,group8
Cell311,group8
Cell312,group8
Cell313,group8
Cell314,group8
Cell315,group8
Cell316,group8
Cell317,group8
Cell318,group8
Cell319,group8
Cell320,group8
Cell321,group8
Cell322,group8
Cell323,group8
Cell324,group8
Cell325,group8
Cell326,group8
Cell327,group8
Cell328,group8
Cell329,group8
Cell330,group8
Cell331,group8
Cell332,group8
Cell333,group8
Cell334,group8
Cell335,group8
Cell336,group8
Cell337,group8
Cell338,group8
Cell339,group8
Cell340,group8
Cell341,group8
Cell342,group8
Cell343,group8
Cell344,group8
Cell345,group8
Cell346,group8
Cell347,group8
Cell348,group8
Cell349,group8
Cell350,group8
Cell351,group8
Cell352,group8
Cell353,group8
Cell354,group8
Cell355,group8
Cell356,group8
Cell357,group8
Cell358,group8
Cell359,group8
Cell360,group8
Cell361,group8
Cell362,group8
Cell363,group8
Cell364,group8
Cell365,group8
Cell366,group8
Cell367,group8
Cell368,group8
Cell369,group8
Cell370,group8
Cell371,group8
Cell372,group8
Cell373,group8
Cell374,group8
Cell375,group8
Cell376,group8
Cell377,group8
Cell378,group8
Cell379,group8
Cell380,group8
Cell381,group8
Cell382,group8
Cell383,group8
Cell384,group8
Cell385,group8
Cell386,group8
Cell387,group8
Cell388,group8
Cell389,group8
Cell390,group8
Cell391,group8
Cell392,group8
Cell393,group8
Cell394,group8
Cell395,group8
Cell396,group8
Cell397,group8
Cell398,group8
Cell399,group8
Cell400,group8
Cell401,group8
Cell402,group8
Cell403,group8
Cell404,group8
Cell405,group8
Cell406,group8
Cell407,group8
Cell408,group8
Cell409,group8
Cell410,group8
Cell411,group8
Cell412,group8
Cell413,group8
Cell414,group8
Cell415,group8
Cell416,group8
Cell417,group8
Cell418,group8
Cell419,group8
Cell420,group8
Cell421,group8
Cell422,group8
Cell423,group8
Cell424,group8
Cell425,group8
Cell426,group8
Cell427,group8
Cell428,group8
Cell429,group8
Cell430,group8
Cell431,group8
Cell432,group8
Cell433,group8
Cell434,group8
Cell435,group8
Cell436,group8
Cell437,group8
Cell438,group8
Cell439,group8
Cell440,group8
Cell441,group8
Cell442,group8
Cell443,group8
Cell444,group8
Cell445,group8
Cell446,group8
Cell447,group8
Cell448,group8
Cell449,group8
Cell450,group8
Cell451,group8
Cell452,group8
Cell453,group8
Cell454,group8
Cell455,group8
Cell456,group8
Cell457,group8
Cell458,group8
Cell459,group8
Cell460,group8
Cell461,group8
Cell462,group8
Cell463,group8
Cell464,group8
Cell465,group8
Cell466,group8
Cell467,group8
Cell468,group8
Cell469,group8
Cell470,group8
Cell471,group8
Cell472,group8
Cell473,group8
Cell474,group8
Cell475,group8
Cell476,group8
Cell477,group8
Cell478,group8
Cell479,group8
Cell480,group8
Cell481,group8
Cell482,group8
Cell483,group8
Cell484,group8
Cell485,group8
Cell486,group8
Cell487,group8
Cell488,group8
Cell489,group8
Cell490,group8
Cell491,group8
Cell492,group8
Cell493,group8
Cell494,group8
Cell495,group8
Cell496,group8
Cell497,group8
Cell498,group8
Cell499,group8
Cell500,group8
Cell501,group8
Cell502,group8
Cell503,group8
Cell504,group8
Cell505,group8
Cell506,group8
Cell507,group8
Cell508,group8
Cell509,group8
Cell510,group8
Cell511,group8
Cell512,group8
Cell513,group8
