cell,cell_type
Cell1,group2
Cell2,group2
Cell3,group7
Cell4,group2
Cell5,group2
Cell6,group2
Cell7,group2
Cell8,group2
Cell9,group2
Cell10,group2
Cell11,group2
Cell12,group2
Cell13,group7
Cell14,group2
Cell15,group2
Cell16,group2
Cell17,group2
Cell18,group2
Cell19,group2
Cell20,group2
Cell21,group2
Cell22,group2
Cell23,group7
Cell24,group2
Cell25,group2
Cell26,group2
Cell27,group2
Cell28,group2
Cell29,group7
Cell30,group2
Cell31,group2
Cell32,group2
Cell33,group2
Cell34,group2
Cell35,group2
Cell36,group2
Cell37,group7
Cell38,group7
Cell39,group7
Cell40,group2
Cell41,group2
Cell42,group2
Cell43,group2
Cell44,group2
Cell45,group2
Cell46,group2
Cell47,group2
Cell48,group2
Cell49,group2
Cell50,group2
Cell51,group2
Cell52,group2
Cell53,group2
Cell54,group7
Cell55,group2
Cell56,group2
Cell57,group2
Cell58,group2
Cell59,group2
Cell60,group2
Cell61,group2
Cell62,group2
Cell63,group2
Cell64,group2
Cell65,group7
Cell66,group2
Cell67,group2
Cell68,group2
Cell69,group2
Cell70,group2
Cell71,group2
Cell72,group2
Cell73,group2
Cell74,group2
Cell75,group2
Cell76,group2
Cell77,group2
Cell78,group2
Cell79,group2
Cell80,group7
Cell81,group2
Cell82,group2
Cell83,group2
Cell84,group2
Cell85,group2
Cell86,group2
Cell87,group2
Cell88,group2
Cell89,group2
Cell90,group2
Cell91,group2
Cell92,group2
Cell93,group2
Cell94,group2
Cell95,group2
Cell96,group2
Cell97,group7
Cell98,group2
Cell99,group2
Cell100,group2
Cell101,group2
Cell102,group2
Cell103,group2
Cell104,group2
Cell105,group2
Cell106,group2
Cell107,group2
Cell108,group2
Cell109,group2
Cell110,group2
Cell111,group2
Cell112,group2
Cell113,group2
Cell114,group7
Cell115,group2
Cell116,group2
Cell117,group2
Cell118,group2
Cell119,group7
Cell120,group2
Cell121,group2
Cell122,group2
Cell123,group7
Cell124,group7
Cell125,group2
Cell126,group2
Cell127,group2
Cell128,group2
Cell129,group7
Cell130,group2
Cell131,group2
Cell132,group2
Cell133,group2
Cell134,group2
Cell135,group2
Cell136,group2
Cell137,group2
Cell138,group2
Cell139,group2
Cell140,group7
Cell141,group2
Cell142,group7
Cell143,group2
Cell144,group2
Cell145,group2
Cell146,group2
Cell147,group2
Cell148,group2
Cell149,group2
Cell150,group2
Cell151,group2
Cell152,group2
Cell153,group2
Cell154,group2
Cell155,group2
Cell156,group2
Cell157,group2
Cell158,group2
Cell159,group2
Cell160,group2
Cell161,group2
Cell162,group2
Cell163,group2
Cell164,group2
Cell165,group2
Cell166,group2
Cell167,group2
Cell168,group2
Cell169,group7
Cell170,group2
Cell171,group2
Cell172,group2
Cell173,group2
Cell174,group2
Cell175,group2
Cell176,group2
Cell177,group2
Cell178,group2
Cell179,group2
Cell180,group2
Cell181,group2
Cell182,group2
Cell183,group2
Cell184,group2
Cell185,group2
Cell186,group2
Cell187,group7
Cell188,group2
Cell189,group2
Cell190,group7
Cell191,group2
Cell192,group2
Cell193,group2
Cell194,group2
Cell195,group2
Cell196,group2
Cell197,group2
Cell198,group2
Cell199,group2
Cell200,group2
Cell201,group2
Cell202,group2
Cell203,group2
Cell204,group2
Cell205,group7
Cell206,group2
Cell207,group2
Cell208,group2
Cell209,group2
Cell210,group2
Cell211,group2
Cell212,group2
Cell213,group2
Cell214,group2
Cell215,group2
Cell216,group2
Cell217,group2
Cell218,group2
Cell219,group2
Cell220,group2
Cell221,group2
Cell222,group2
Cell223,group7
Cell224,group2
Cell225,group2
Cell226,group2
Cell227,group2
Cell228,group2
Cell229,group2
Cell230,group2
Cell231,group2
Cell232,group2
Cell233,group2
Cell234,group2
Cell235,group2
Cell236,group2
Cell237,group2
Cell238,group2
Cell239,group2
Cell240,group2
Cell241,group2
Cell242,group2
Cell243,group2
Cell244,group2
Cell245,group2
Cell246,group2
Cell247,group2
Cell248,group2
Cell249,group2
Cell250,group2
Cell251,group7
Cell252,group7
Cell253,group2
Cell254,group2
Cell255,group2
Cell256,group2
Cell257,group2
Cell258,group2
Cell259,group2
Cell260,group2
Cell261,group2
Cell262,group2
Cell263,group2
Cell264,group2
Cell265,group2
Cell266,group2
Cell267,group2
Cell268,group7
Cell269,group2
Cell270,group2
Cell271,group2
Cell272,group2
Cell273,group2
Cell274,group2
Cell275,group2
Cell276,group2
Cell277,group2
Cell278,group2
Cell279,group7
Cell280,group2
Cell281,group2
Cell282,group7
Cell283,group2
Cell284,group2
Cell285,group2
Cell286,group2
Cell287,group7
Cell288,group2
Cell289,group2
Cell290,group2
Cell291,group2
Cell292,group2
Cell293,group2
Cell294,group2
Cell295,group2
Cell296,group2
Cell297,group2
Cell298,group2
Cell299,group2
Cell300,group2
Cell301,group2
Cell302,group2
Cell303,group2
Cell304,group2
Cell305,group2
Cell306,group2
Cell307,group7
Cell308,group2
Cell309,group2
Cell310,group2
Cell311,group2
Cell312,group2
Cell313,group2
Cell314,group2
Cell315,group2
Cell316,group2
Cell317,group2
Cell318,group2
Cell319,group2
Cell320,group2
Cell321,group2
Cell322,group2
Cell323,group2
Cell324,group7
Cell325,group2
Cell326,group2
Cell327,group2
Cell328,group2
Cell329,group2
Cell330,group2
Cell331,group2
Cell332,group2
Cell333,group2
Cell334,group2
Cell335,group2
Cell336,group2
Cell337,group7
Cell338,group2
Cell339,group2
Cell340,group7
Cell341,group2
Cell342,group2
Cell343,group2
Cell344,group2
Cell345,group2
Cell346,group2
Cell347,group2
Cell348,group2
Cell349,group2
Cell350,group7
Cell351,group2
Cell352,group2
Cell353,group7
Cell354,group2
Cell355,group2
Cell356,group2
Cell357,group2
Cell358,group2
Cell359,group2
Cell360,group2
Cell361,group2
Cell362,group2
Cell363,group2
Cell364,group7
Cell365,group2
Cell366,group2
Cell367,group2
Cell368,group2
Cell369,group2
Cell370,group2
Cell371,group2
Cell372,group2
Cell373,group2
Cell374,group2
Cell375,group7
Cell376,group2
Cell377,group2
Cell378,group2
Cell379,group2
Cell380,group2
Cell381,group7
Cell382,group2
Cell383,group2
Cell384,group2
Cell385,group2
Cell386,group2
Cell387,group2
Cell388,group2
Cell389,group2
Cell390,group2
Cell391,group2
Cell392,group2
Cell393,group2
Cell394,group2
Cell395,group2
Cell396,group2
Cell397,group2
Cell398,group2
Cell399,group2
Cell400,group7
Cell401,group2
Cell402,group2
Cell403,group2
Cell404,group2
Cell405,group2
Cell406,group2
Cell407,group2
Cell408,group2
Cell409,group2
Cell410,group7
Cell411,group7
Cell412,group2
Cell413,group2
Cell414,group7
Cell415,group2
Cell416,group2
Cell417,group2
Cell418,group2
Cell419,group2
Cell420,group2
Cell421,group2
Cell422,group2
Cell423,group2
Cell424,group2
Cell425,group2
Cell426,group2
Cell427,group2
Cell428,group2
Cell429,group7
Cell430,group2
Cell431,group2
Cell432,group2
Cell433,group2
Cell434,group2
Cell435,group2
Cell436,group2
Cell437,group2
Cell438,group2
Cell439,group2
Cell440,group7
Cell441,group2
Cell442,group2
Cell443,group2
Cell444,group7
Cell445,group2
Cell446,group2
Cell447,group2
Cell448,group2
Cell449,group2
Cell450,group2
Cell451,group2
Cell452,group2
Cell453,group2
Cell454,group2
Cell455,group2
Cell456,group2
Cell457,group2
Cell458,group2
Cell459,group2
Cell460,group2
Cell461,group2
Cell462,group2
Cell463,group2
Cell464,group2
Cell465,group2
Cell466,group2
Cell467,group2
Cell468,group2
Cell469,group2
Cell470,group2
Cell471,group2
Cell472,group2
Cell473,group2
Cell474,group2
Cell475,group2
Cell476,group2
Cell477,group2
Cell478,group2
Cell479,group2
Cell480,group2
Cell481,group2
Cell482,group7
Cell483,group2
Cell484,group2
Cell485,group2
Cell486,group2
Cell487,group2
Cell488,group2
Cell489,group2
Cell490,group2
Cell491,group2
Cell492,group7
Cell493,group2
Cell494,group2
Cell495,group2
Cell496,group2
Cell497,group2
Cell498,group7
Cell499,group7
Cell500,group7
Cell501,group2
Cell502,group2
Cell503,group2
Cell504,group2
Cell505,group2
Cell506,group2
Cell507,group2
Cell508,group2
Cell509,group2
Cell510,group2
Cell511,group2
Cell512,group2
Cell513,group2
Cell514,group2
Cell515,group2
Cell516,group2
Cell517,group2
Cell518,group2
Cell519,group2
Cell520,group2
Cell521,group2
Cell522,group2
Cell523,group2
Cell524,group7
Cell525,group2
Cell526,group2
Cell527,group2
Cell528,group2
Cell529,group7
Cell530,group2
Cell531,group2
Cell532,group2
Cell533,group2
Cell534,group2
Cell535,group2
Cell536,group2
Cell537,group2
Cell538,group2
Cell539,group2
Cell540,group2
Cell541,group2
Cell542,group7
Cell543,group2
Cell544,group2
Cell545,group2
Cell546,group2
Cell547,group2
Cell548,group2
Cell549,group2
Cell550,group2
Cell551,group2
Cell552,group2
Cell553,group2
Cell554,group7
Cell555,group2
Cell556,group2
Cell557,group2
Cell558,group2
Cell559,group2
Cell560,group2
Cell561,group2
Cell562,group2
Cell563,group2
Cell564,group2
Cell565,group7
Cell566,group2
Cell567,group2
Cell568,group7
Cell569,group2
Cell570,group2
Cell571,group2
Cell572,group2
Cell573,group2
Cell574,group2
Cell575,group2
Cell576,group2
Cell577,group2
Cell578,group2
Cell579,group2
Cell580,group2
Cell581,group2
Cell582,group2
Cell583,group2
Cell584,group2
Cell585,group2
Cell586,group2
Cell587,group2
Cell588,group2
Cell589,group2
Cell590,group2
Cell591,group2
Cell592,group2
Cell593,group7
Cell594,group7
Cell595,group2
Cell596,group2
Cell597,group2
Cell598,group2
Cell599,group2
Cell600,group2
Cell601,group2
Cell602,group2
Cell603,group2
Cell604,group2
Cell605,group2
Cell606,group2
Cell607,group2
Cell608,group2
Cell609,group7
Cell610,group2
Cell611,group2
Cell612,group2
Cell613,group2
Cell614,group2
Cell615,group2
Cell616,group2
Cell617,group2
Cell618,group2
Cell619,group2
Cell620,group2
Cell621,group2
Cell622,group2
Cell623,group2
Cell624,group2
Cell625,group2
Cell626,group2
Cell627,group2
Cell628,group2
Cell629,group2
Cell630,group2
Cell631,group2
Cell632,group7
Cell633,group2
Cell634,group2
Cell635,group2
Cell636,group2
Cell637,group2
Cell638,group2
Cell639,group2
Cell640,group2
Cell641,group2
Cell642,group2
Cell643,group2
Cell644,group2
Cell645,group2
Cell646,group2
Cell647,group2
Cell648,group7
Cell649,group2
Cell650,group2
Cell651,group7
Cell652,group2
Cell653,group2
Cell654,group2
Cell655,group2
Cell656,group2
Cell657,group2
Cell658,group2
Cell659,group2
Cell660,group2
Cell661,group2
Cell662,group2
Cell663,group2
Cell664,group2
Cell665,group2
Cell666,group2
Cell667,group2
Cell668,group2
Cell669,group2
Cell670,group2
Cell671,group2
Cell672,group2
Cell673,group2
Cell674,group2
Cell675,group2
Cell676,group2
Cell677,group7
Cell678,group2
Cell679,group2
Cell680,group2
Cell681,group2
Cell682,group2
Cell683,group2
Cell684,group2
Cell685,group2
Cell686,group2
Cell687,group7
Cell688,group2
Cell689,group2
Cell690,group2
Cell691,group2
Cell692,group2
Cell693,group2
Cell694,group2
Cell695,group2
Cell696,group2
Cell697,group2
Cell698,group2
Cell699,group2
Cell700,group2
Cell701,group2
Cell702,group2
Cell703,group2
Cell704,group2
Cell705,group2
Cell706,group2
Cell707,group2
Cell708,group2
Cell709,group2
Cell710,group2
Cell711,group2
Cell712,group2
Cell713,group2
Cell714,group2
Cell715,group7
Cell716,group2
Cell717,group7
Cell718,group2
Cell719,group2
Cell720,group2
Cell721,group2
Cell722,group2
Cell723,group2
Cell724,group2
Cell725,group2
Cell726,group2
Cell727,group2
Cell728,group2
Cell729,group2
Cell730,group2
Cell731,group2
Cell732,group2
Cell733,group2
Cell734,group2
Cell735,group2
Cell736,group2
Cell737,group2
Cell738,group2
Cell739,group7
Cell740,group2
Cell741,group2
Cell742,group2
Cell743,group2
Cell744,group2
Cell745,group2
Cell746,group2
Cell747,group2
Cell748,group2
Cell749,group2
Cell750,group2
Cell751,group2
Cell752,group2
Cell753,group2
Cell754,group2
Cell755,group2
Cell756,group2
Cell757,group2
Cell758,group2
Cell759,group2
Cell760,group2
Cell761,group2
Cell762,group2
Cell763,group2
Cell764,group2
Cell765,group2
Cell766,group2
Cell767,group2
Cell768,group2
Cell769,group7
Cell770,group2
Cell771,group2
Cell772,group2
Cell773,group2
Cell774,group2
Cell775,group2
Cell776,group2
Cell777,group2
Cell778,group7
Cell779,group2
Cell780,group2
Cell781,group2
Cell782,group2
Cell783,group2
Cell784,group2
Cell785,group2
Cell786,group2
Cell787,group2
Cell788,group2
Cell789,group2
Cell790,group2
Cell791,group2
Cell792,group2
Cell793,group2
Cell794,group2
Cell795,group2
Cell796,group2
Cell797,group2
Cell798,group2
Cell799,group2
Cell800,group2
Cell801,group2
Cell802,group2
Cell803,group2
Cell804,group2
Cell805,group2
Cell806,group7
Cell807,group2
Cell808,group2
Cell809,group2
Cell810,group2
Cell811,group2
Cell812,group2
Cell813,group2
Cell814,group2
Cell815,group2
Cell816,group2
Cell817,group2
Cell818,group2
Cell819,group2
Cell820,group2
Cell821,group2
Cell822,group2
Cell823,group2
Cell824,group2
Cell825,group2
Cell826,group2
Cell827,group2
Cell828,group2
Cell829,group2
Cell830,group2
Cell831,group2
Cell832,group2
Cell833,group2
Cell834,group2
Cell835,group2
Cell836,group2
Cell837,group2
Cell838,group2
Cell839,group2
Cell840,group7
Cell841,group2
Cell842,group2
Cell843,group2
Cell844,group7
Cell845,group2
Cell846,group2
Cell847,group7
Cell848,group2
Cell849,group2
Cell850,group2
Cell851,group2
Cell852,group2
Cell853,group2
Cell854,group2
Cell855,group2
Cell856,group2
Cell857,group2
Cell858,group2
Cell859,group2
Cell860,group2
Cell861,group2
Cell862,group2
Cell863,group2
Cell864,group2
Cell865,group2
Cell866,group2
Cell867,group2
Cell868,group7
Cell869,group2
Cell870,group2
Cell871,group2
Cell872,group2
Cell873,group2
Cell874,group2
Cell875,group2
Cell876,group2
Cell877,group7
Cell878,group2
Cell879,group2
Cell880,group2
Cell881,group2
Cell882,group2
Cell883,group2
Cell884,group2
Cell885,group2
Cell886,group2
Cell887,group2
Cell888,group2
Cell889,group2
Cell890,group2
Cell891,group2
Cell892,group2
Cell893,group2
Cell894,group2
Cell895,group2
Cell896,group7
Cell897,group2
Cell898,group2
Cell899,group2
Cell900,group2
Cell901,group7
Cell902,group2
Cell903,group2
Cell904,group2
Cell905,group2
Cell906,group2
Cell907,group2
Cell908,group2
Cell909,group2
Cell910,group7
Cell911,group2
Cell912,group7
Cell913,group2
Cell914,group2
Cell915,group2
Cell916,group2
Cell917,group2
Cell918,group2
Cell919,group2
Cell920,group2
Cell921,group2
Cell922,group2
Cell923,group2
Cell924,group2
Cell925,group7
Cell926,group2
Cell927,group2
Cell928,group2
Cell929,group2
Cell930,group2
Cell931,group2
Cell932,group2
Cell933,group2
Cell934,group2
Cell935,group2
Cell936,group2
Cell937,group2
Cell938,group2
Cell939,group2
Cell940,group2
Cell941,group2
Cell942,group7
Cell943,group7
Cell944,group2
Cell945,group2
Cell946,group2
Cell947,group2
Cell948,group2
Cell949,group2
Cell950,group2
Cell951,group2
Cell952,group2
Cell953,group2
Cell954,group2
Cell955,group2
Cell956,group7
Cell957,group2
Cell958,group2
Cell959,group2
Cell960,group2
Cell961,group2
Cell962,group2
Cell963,group2
Cell964,group2
Cell965,group2
Cell966,group2
Cell967,group2
Cell968,group7
Cell969,group2
Cell970,group2
Cell971,group7
Cell972,group2
Cell973,group2
Cell974,group2
Cell975,group2
Cell976,group2
Cell977,group2
Cell978,group2
Cell979,group2
Cell980,group2
Cell981,group2
Cell982,group2
Cell983,group2
Cell984,group2
Cell985,group2
Cell986,group2
Cell987,group7
Cell988,group7
Cell989,group2
Cell990,group2
Cell991,group2
Cell992,group2
Cell993,group2
Cell994,group7
Cell995,group2
Cell996,group2
Cell997,group2
Cell998,group2
Cell999,group2
Cell1000,group2
