cell,cell_type
Cell1,group4
Cell2,group3
Cell3,group7
Cell4,group6
Cell5,group7
Cell6,group2
Cell7,group4
Cell8,group8
Cell9,group8
Cell10,group4
Cell11,group6
Cell12,group4
Cell13,group7
Cell14,group7
Cell15,group4
Cell16,group1
Cell17,group3
Cell18,group2
Cell19,group6
Cell20,group3
Cell21,group2
Cell22,group6
Cell23,group7
Cell24,group3
Cell25,group3
Cell26,group7
Cell27,group2
Cell28,group6
Cell29,group7
Cell30,group2
Cell31,group4
Cell32,group3
Cell33,group4
Cell34,group3
Cell35,group2
Cell36,group3
Cell37,group7
Cell38,group7
Cell39,group7
Cell40,group2
Cell41,group5
Cell42,group2
Cell43,group4
Cell44,group3
Cell45,group2
Cell46,group2
Cell47,group5
Cell48,group4
Cell49,group4
Cell50,group4
Cell51,group5
Cell52,group8
Cell53,group5
Cell54,group7
Cell55,group6
Cell56,group2
Cell57,group5
Cell58,group4
Cell59,group3
Cell60,group3
Cell61,group5
Cell62,group3
Cell63,group4
Cell64,group3
Cell65,group7
Cell66,group4
Cell67,group1
Cell68,group1
Cell69,group7
Cell70,group5
Cell71,group3
Cell72,group3
Cell73,group2
Cell74,group2
Cell75,group7
Cell76,group4
Cell77,group6
Cell78,group8
Cell79,group2
Cell80,group7
Cell81,group6
Cell82,group2
Cell83,group6
Cell84,group3
Cell85,group4
Cell86,group4
Cell87,group4
Cell88,group2
Cell89,group5
Cell90,group8
Cell91,group4
Cell92,group7
Cell93,group2
Cell94,group2
Cell95,group5
Cell96,group6
Cell97,group7
Cell98,group2
Cell99,group5
Cell100,group5
Cell101,group7
Cell102,group6
Cell103,group3
Cell104,group4
Cell105,group8
Cell106,group2
Cell107,group2
Cell108,group3
Cell109,group5
Cell110,group3
Cell111,group6
Cell112,group2
Cell113,group4
Cell114,group7
Cell115,group2
Cell116,group4
Cell117,group8
Cell118,group2
Cell119,group7
Cell120,group6
Cell121,group1
Cell122,group6
Cell123,group7
Cell124,group7
Cell125,group4
Cell126,group7
Cell127,group1
Cell128,group3
Cell129,group7
Cell130,group5
Cell131,group2
Cell132,group8
Cell133,group2
Cell134,group6
